"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"CD74HCT4051M","Texas Instruments","296-9276-5-ND","","","Tube","Active","3","0.59000","$1.77","3310","6 Weeks","IC MUX/DEMUX 8X1 16SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"CD74HCT4053M96","Texas Instruments","296-26030-1-ND","","","Cut Tape (CT)","Active","1","0.47000","$0.47","2131","6 Weeks","IC MUX/DEMUX TRIPLE 2X1 16SOIC","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B103KBANNNC","Samsung Electro-Mechanics","1276-1015-1-ND","","","Cut Tape (CT)","Active","16","0.04300","$0.68","3289326","22 Weeks","CAP CER 10000PF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CL21B104MBCNNNC","Samsung Electro-Mechanics","1276-2450-1-ND","","","Cut Tape (CT)","Active","36","0.04100","$1.47","903787","22 Weeks","CAP CER 0.1UF 50V X7R 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-103ELF","Bourns Inc.","CR0805-JW-103ELFCT-ND","","","Cut Tape (CT)","Active","19","0.01800","$0.34","306825","14 Weeks","RES SMD 10K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-104ELF","Bourns Inc.","CR0805-JW-104ELFCT-ND","","","Cut Tape (CT)","Active","20","0.02200","$0.44","147932","14 Weeks","RES SMD 100K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-333ELF","Bourns Inc.","CR0805-JW-333ELFCT-ND","","","Cut Tape (CT)","Active","1","0.10000","$0.10","137636","14 Weeks","RES SMD 33K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-472ELF","Bourns Inc.","CR0805-JW-472ELFCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","65872","14 Weeks","RES SMD 4.7K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"CR0805-JW-513ELF","Bourns Inc.","CR0805-JW-513ELFCT-ND","","","Cut Tape (CT)","Active","2","0.10000","$0.20","11298","14 Weeks","RES SMD 51K OHM 5% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
"ERA-6AEB182V","Panasonic Electronic Components","P1.8KDACT-ND","","","Cut Tape (CT)","Active","2","0.36000","$0.72","19059","13 Weeks","RES 1.8K OHM 0.1% 1/8W 0805","ROHS3 Compliant","Lead free","REACH Unaffected"
